"","MeanPred","MedPred","MeanPrey","MedPrey","MeanRatio","MedRatio"
"insectivorous",5.57075,0.9585,0.111269125,0.111269125,0.169393090293328,0.0731837606837607
"piscivorous",19181.42434702,2900,39.2207782482792,39.2207782482792,0.0339626295963747,0.00363636363636364
"planktivorous",2796.97195938687,0.0216,0.534151423090122,0.534151423090122,0.277309597045255,5.4054054054054e-05
"predacious",10431.6848345828,609,13.9816173491183,13.9816173491183,0.0566180802762985,0.000250786323720015
"predacious/piscivorous",764.634782608696,590,21.8908024844721,21.8908024844721,0.0473234482936906,0.0244705882352941
