"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"146",146,"Grompertz","90.7625630829149","Grompertz","91.4942703999881","Grompertz","103.149247155306"
"147",147,"Grompertz","39.759010414251","Grompertz","40.3472457083687","Grompertz","53.1696665498721"
"148",148,"Cubic Poly","132.19687856338","Cubic Poly","132.919770129645","Cubic Poly","144.640060412041"
"149",149,"Grompertz","-0.521358454675561","Grompertz","59.4786415453244","Grompertz","-0.791807709398995"
"150",150,"Cubic Poly","-4.08417716031974","Cubic Poly","55.9158228396803","Cubic Poly","-4.35462641504317"
"151",151,"Cubic Poly","-15.9400777865624","Cubic Poly","Inf","Cubic Poly","-16.9812804404221"
"152",152,"Cubic Poly","-13.5434493701137","Cubic Poly","Inf","Cubic Poly","-14.5846520239734"
"153",153,"Baranyi","-7.49022965147581","Baranyi","52.5097703485242","Baranyi","-7.76067890619925"
"154",154,"Cubic Poly","2.10432772084116","Cubic Poly","62.1043277208412","Cubic Poly","1.83387846611773"
"155",155,"Grompertz","-11.6719260184282","Grompertz","48.3280739815718","Grompertz","-11.9423752731516"
"156",156,"Grompertz","-7.39365261646011","Grompertz","52.6063473835399","Grompertz","-7.66410187118354"
"157",157,"Cubic Poly","1.55573349795601","Cubic Poly","4.28300622522874","Cubic Poly","8.21675604883203"
"158",158,"Cubic Poly","57.8338536567957","Cubic Poly","61.3632654215016","Cubic Poly","63.5113247364415"
"159",159,"Cubic Poly","34.8324686222037","Cubic Poly","40.8324686222037","Cubic Poly","38.6954122334026"
"160",160,"Grompertz","46.3800331311953","Grompertz","51.8345785857407","Grompertz","50.5460998514764"
"161",161,"Cubic Poly","28.3304726519452","Cubic Poly","31.057745379218","Cubic Poly","34.9914952028212"
"162",162,"Cubic Poly","43.5031947595344","Cubic Poly","46.5031947595344","Cubic Poly","49.7936774496418"
"163",163,"Grompertz","7.70228623898135","Grompertz","14.368952905648","Grompertz","11.2425372444924"
"164",164,"Cubic Poly","42.9112933612174","Cubic Poly","48.9112933612174","Cubic Poly","46.7742369724163"
"165",165,"Cubic Poly","6.39177563485436","Cubic Poly","8.89177563485436","Cubic Poly","13.3977625431651"
"166",166,"Grompertz","41.4070688001096","Grompertz","44.4070688001096","Grompertz","47.697551490217"
"167",167,"Grompertz","18.5438821962905","Grompertz","25.2105488629572","Grompertz","22.0841332018016"
"168",168,"Cubic Poly","47.2435867979297","Cubic Poly","53.9102534645963","Cubic Poly","50.7838378034407"
