"","Subset","BestModelAIC","AIC","BestModelAICc","AICc","BestModelBIC","BIC"
"58",58,"Cubic Poly","-154.452622665448","Cubic Poly","-149.837238050064","Cubic Poly","-149.730427769616"
"59",59,"Grompertz","-17.8345415213991","Grompertz","-12.3799960668537","Grompertz","-13.668474801118"
"60",60,"Cubic Poly","3.83437762978526","Cubic Poly","33.8343776297853","Cubic Poly","4.23158533818444"
"61",61,"Cubic Poly","14.547419601498","Cubic Poly","44.547419601498","Cubic Poly","14.9446273098972"
"62",62,"Cubic Poly","16.1630688366551","Cubic Poly","76.1630688366551","Cubic Poly","15.8926195819317"
"63",63,"Baranyi","-141.880864029002","Baranyi","-136.880864029002","Baranyi","-137.429005239521"
"64",64,"Grompertz","-4.0681091253458","Grompertz","3.4318908746542","Grompertz","-0.872822477269512"
"65",65,"Cubic Poly","15.3183857688121","Cubic Poly","75.3183857688121","Cubic Poly","15.0479365140887"
"66",66,"Cubic Poly","6.12581214551458","Cubic Poly","36.1258121455146","Cubic Poly","6.52301985391376"
"67",67,"Cubic Poly","3.77473010013536","Cubic Poly","33.7747301001354","Cubic Poly","4.17193780853454"
"68",68,"Cubic Poly","8.34936424530946","Cubic Poly","13.3493642453095","Cubic Poly","12.8012230347903"
"69",69,"Grompertz","13.7546582736839","Grompertz","23.7546582736839","Grompertz","16.1791915226239"
"70",70,"Cubic Poly","15.2562659668302","Cubic Poly","35.2562659668302","Cubic Poly","16.2423888535113"
"71",71,"Cubic Poly","-69.3385633311314","Cubic Poly","-54.3385633311314","Cubic Poly","-67.8256378661612"
"72",72,"Grompertz","-120.974747865658","Grompertz","-114.974747865658","Grompertz","-117.111804254459"
"73",73,"Grompertz","-8.0993294358413","Grompertz","-3.48394482045668","Grompertz","-3.3771345400091"
"74",74,"Grompertz","5.28770866109976","Grompertz","13.8591372325283","Grompertz","8.11245544840744"
"75",75,"Cubic Poly","14.6208036416386","Cubic Poly","74.6208036416386","Cubic Poly","14.3503543869152"
"76",76,"Cubic Poly","18.7573794251557","Cubic Poly","33.7573794251557","Cubic Poly","20.2703048901259"
